0	Index      	 *	Score 	Summary	Detail	
1	42124 32363	 * 	200.25	ACR|3DMG|2VULN|1AART|2CDMG	149DMG|29CGEN|3RCR|5LHND|6aVULN|79CDMG|8AART|9BPWR
515	41124 33332	   	170.57	ACR|2VULN|2DMG|1AART|1DUR	14DMG|2ERES|3RCR|5LHND|6aVULN|7DUR|8DUST|9AART
516	53161 13352	   	170.55	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	1CDMG|29DMG|3LSRICY|4RCR|5VULN|69ASPD|7DUST|89CGEN|9BPWR|aAART
517	16336 32532	   	170.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2RCVC|3RCR|4LWND|5DMG|6aVULN|7CDMG|8DUR|9AART
518	42135 24123	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DMG|2CGEN|3RCR|4ZMB|56VULN|7RPLT|8ASPD|9DUR|aAART
519	42136 24123	   	170.53	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	15DMG|2CGEN|3RCR|4ZMB|6VULN|7RPLT|8ASPD|9DUR|aAART
520	51161 11522	   	170.50	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD|1DUR	19CDMG|2ZMB|3LSRICY|4RCR|5VULN|6ASPD|7DUR|8DMG|aAART
521	53161 11622	   	170.50	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD|1DUR	19CDMG|2DMG|3LSRICY|4RCR|5VULN|6ASPD|7DUR|8ZMB|aAART
522	53613 23223	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2aDMG|3BELT|4MLV|5AART|6ZMB|7RCR|8VULN|9RPLT
523	53613 23226	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3BELT|4MLV|5AART|6ZMB|7RCR|8aVULN|9RPLT
524	53613 23235	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3BELT|4MLV|5AART|6ZMB|7RCR|8aVULN|9CGEN
525	53613 23241	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3BELT|4MLV|5AART|6ZMB|7RCR|89VULN|aCGEN
526	53613 23242	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3BELT|4MLV|5AART|6ZMB|7RCR|89VULN|aLHND
527	13513 26321	   	170.46	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2LHND|37VULN|4ASPD|5AART|6RCVC|8RCR|9aDMG
528	14513 26321	   	170.46	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2LWND|37VULN|4ASPD|5AART|6RCVC|8RCR|9aDMG
529	36325 23262	   	170.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2RCVC|3RCR|4BEXP|56VULN|7DMG|8DUR|9AART|aCDMG
530	41136 24123	   	170.43	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	15DMG|2ERES|3RCR|4ZMB|6VULN|7RPLT|8ASPD|9DUR|aAART
531	35125 24123	   	170.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2ZMB|3RCR|4DMG|56VULN|7RPLT|8ASPD|9DUR|aAART
532	35126 24123	   	170.43	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|2ZMB|3RCR|45DMG|6VULN|7RPLT|8ASPD|9DUR|aAART
533	41135 24123	   	170.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DMG|2ERES|3RCR|4ZMB|56VULN|7RPLT|8ASPD|9DUR|aAART
534	22112 51122	   	170.40	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	12FEWX|3ZMB|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
535	42135 21111	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9LWND|aASPD
536	42135 21121	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9ASPD|aFEWX
537	42135 21122	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28aCGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9ASPD
538	42135 21125	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9ASPD|aLHND
539	42135 21136	   	170.40	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9RMIN|aASPD
540	43533 26323	   	170.36	DCR|2VULN|2DMG|1AART|1ASPD	19DMG|2LHND|37VULN|4TLV|5AART|6RCVC|8RCR|aASPD
541	61313 26321	   	170.36	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|27VULN|3ERES|4ASPD|5AART|6RCVC|8RCR|9aDMG
542	22312 53531	   	170.35	DCR|2VULN|2DMG|1AART|1ASPD	12FEWX|3ASPD|45VULN|6RCR|7aDMG|8CGEN|9AART
543	42135 21123	   	170.30	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9ASPD|aDUST
544	42135 21161	   	170.30	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	18DMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9MBVNT|aASPD
545	44512 31132	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	12DMG|2BPWR|3DUST|4aVULN|5LIT|6RCR|7BEXP|8DUR|9AART
546	46512 31132	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	12DMG|3DUST|4aVULN|5LIT|6RCR|7BEXP|8DUR|9AART
