0	Index      	 *	Score 	Summary	Detail	
1	15533 31236	 * 	193.81	DCR|3VULN|3DMG|3ZMB	1RCVC|236DMG|468VULN|5MBVNT|68BPWR|789ZMB|aRCR
524	31232 63345	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9CGEN|aLEGI
525	31232 63352	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9LWND|aLSRHEA
526	31232 63353	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3458VULN|5BPWR|6DUR|7RCR|9LWND
527	31232 63354	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9LWND|aDUST
528	31232 63361	   	164.66	DCR|4VULN|1AART|1DUR	1AART|259TLV|3458VULN|5BPWR|6DUR|7RCR|aLHND
529	31232 63364	   	164.66	DCR|4VULN|1AART|1DUR	1AART|259TLV|3458VULN|5BPWR|6DUR|7RCR|aFEWX
530	31232 63365	   	164.66	DCR|4VULN|1AART|1DUR	1AART|259TLV|3458VULN|5BPWR|6DUR|7RCR|aMLV
531	31232 63512	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8LWND|aLSRHEA
532	31232 63513	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3459VULN|5BPWR|6DUR|7RCR|8LWND
533	31232 63514	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|3459VULN|5BPWR|6DUR|7RCR|8LWND|aDUST
534	31232 63552	   	164.66	DCR|4VULN|1AART|1DUR	1AART|25TLV|345aVULN|5BPWR|6DUR|7RCR|8LWND|9DUST
535	31235 63321	   	164.66	DCR|4VULN|1AART|1DUR	1AART|2TLV|348aVULN|5DMSP|6DUR|7RCR|9DUST
536	16211 11247	   	164.64	ACR|2VULN|2DMG|1AART	1RCVC|29VULN|379TLV|4RCR|59DMG|6RPLT|8MBVNT|9BPWR|aAART
537	16312 34261	   	164.63	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|259VULN|35CGEN|4RCR|5BPWR|6ASPD|7CDMG|8AART|aDUST
538	15141 16121	   	164.60	ACR|3DMG|1AART|1VULN	1RCVC|258DMG|3DMSP|4RCR|5BPWR|6CGEN|7AART|9ERES|aVULN
539	33344 32234	   	164.60	DCR|3VULN|2AART|1DUR	19AART|2RPLT|358VULN|4CGEN|6RCR|7BEXP|aDUR
540	36232 16143	 * 	164.59	DCR|4VULN|1AART|2CDMG|2ZMB|1MSE	1AART|2aZMB|348aVULN|5LSRICY|6MSE|7aCDMG|9RCR|aBPWR
541	15533 62423	   	164.57	DCR|2VULN|2DMG|1AART|1SELL	1RCVC|23DMG|4aVULN|5MBVNT|6LEGI|7RCR|8SELL|9AART
542	15411 53211	   	164.57	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|4RMIN|57CDMG|6VULN|89AART|aDUST
543	15421 53212	   	164.57	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|4ERES|57CDMG|6VULN|89AART|aLHND
544	15421 53213	   	164.57	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|4ERES|57CDMG|6VULN|89AART|aLWND
545	15431 53211	   	164.57	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|47CDMG|5RMIN|6VULN|89AART|aDUST
546	31232 63322	   	164.56	DCR|4VULN|1AART|1DUR	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9DUST|aLSRHEA
547	31232 63323	   	164.56	DCR|4VULN|1AART|1DUR	1AART|25aTLV|3458VULN|5BPWR|6DUR|7RCR|9DUST
548	31232 63363	   	164.56	DCR|4VULN|1AART|1DUR	1AART|259TLV|3458VULN|5BPWR|6DUR|7RCR|aNUKE
549	16212 34262	   	164.53	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|259VULN|35TLV|4RCR|5BPWR|6ASPD|7CDMG|8AART|aLHND
550	16212 34263	   	164.53	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|259VULN|35TLV|4RCR|5BPWR|6ASPD|7CDMG|8AART|aLWND
551	15533 31174	   	164.52	DCR|3DMG|2VULN|2ZMB	1RCVC|236DMG|46VULN|5MBVNT|6BPWR|78ZMB|9RMIN|aRCR
552	31254 32234	   	164.50	DCR|3VULN|2AART|1DUR	19AART|2TLV|358VULN|4RPLT|6RCR|7BEXP|aDUR
553	31232 63635	   	164.49	DCR|3VULN|1AART|2DUR|1ASPD	1AART|25TLV|345VULN|5BPWR|68DUR|7RCR|9RCVC|aASPD
554	15421 53211	   	164.47	ACR|2AART|1VULN|1DMG|2CDMG	1RCVC|2DMG|3RCR|4ERES|57CDMG|6VULN|89AART|aDUST
555	16212 34261	   	164.43	ACR|3VULN|1AART|1CDMG|1ASPD	1RCVC|259VULN|35TLV|4RCR|5BPWR|6ASPD|7CDMG|8AART|aDUST
556	15413 31226	   	164.40	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4RMIN|5LHND|6DUST|7CDMG|8AART|9aVULN
557	15433 11226	   	164.40	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4CDMG|5LWND|6DUST|7MLV|8AART|9aVULN
558	33361 22114	   	164.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1AART|2RPLT|35VULN|45DUR|5BPWR|6DMG|7BEXP|8FEWX|9ZMB|aRCR
559	15533 12622	   	164.32	DCR|2VULN|2DMG|1AART	1RCVC|23DMG|48VULN|5MBVNT|6BEXP|7RCR|9FEWX|aAART
560	34543 23233	   	164.31	DCR|3VULN|1AART|1FLTHEA|1DUR	1AART|2LHND|34aVULN|5RMIN|6DUST|7RCR|8FLTHEA|9DUR
561	15436 11223	   	164.30	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4CDMG|5aVULN|6DUST|7MLV|8AART|9TLV
562	15631 53333	   	164.29	DCR|2VULN|1AART|1DMG|2CDMG	1RCVC|2DMG|3DUST|4CGEN|57CDMG|69VULN|8RCR|aAART
563	33542 33612	   	164.28	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2RPLT|35LWND|4CGEN|6RCR|7CDMG|8DMG|9aVULN
564	33552 33612	   	164.28	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2RPLT|35LWND|4MLV|6RCR|7CDMG|8DMG|9aVULN
565	34221 43413	   	164.27	DCR|2AART|2VULN|1CDMG|1ZMB	13AART|2LHND|4CDMG|5aVULN|6RCVC|7DUST|8RCR|9ZMB
566	33361 23111	   	164.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1AART|2RPLT|35VULN|45DUR|5BPWR|6DMG|7MBVNT|8FEWX|9ZMB|aRCR
567	15211 33266	   	164.23	ACR|3VULN|2DMG|1DUR	1RCVC|25DMG|3FEWX|4RCR|6MGNLIT|789VULN|aDUR
568	31232 23636	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1AART|25TLV|345VULN|5BPWR|6BEXP|7RCR|8DUR|9NUKE|aCDMG
569	31232 23666	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1AART|25TLV|345VULN|5BPWR|6BEXP|7RCR|8DUR|9ERES|aCDMG
570	31232 63136	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1AART|25TLV|345VULN|5BPWR|6DUR|7RCR|8LHND|9NUKE|aCDMG
571	31232 63166	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1AART|25TLV|345VULN|5BPWR|6DUR|7RCR|8LHND|9ERES|aCDMG
572	31232 63536	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1AART|25TLV|345VULN|5BPWR|6DUR|7RCR|8LWND|9NUKE|aCDMG
573	16311 32312	   	164.20	ACR|3VULN|1AART|1DMG	1RCVC|29aVULN|3aCGEN|4RCR|5DMG|6DUST|7aMLV|8AART|aBPWR
574	32215 25263	   	164.20	ACR|3VULN|1AART|2CDMG	1AART|2BEXP|3DMSP|4RCR|5LSRICY|69aVULN|78CDMG
575	31622 33612	   	164.18	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2TLV|3RPLT|45LWND|6RCR|7CDMG|8DMG|9aVULN
576	33622 33612	   	164.18	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3TLV|45LWND|6RCR|7CDMG|8DMG|9aVULN
577	33361 23711	   	164.16	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1AART|2RPLT|35VULN|45DUR|5BPWR|6DMG|7MBVNT|8DUST|9ZMB|aRCR
578	36254 32223	   	164.16	DCR|3VULN|1AART|1ZMB|1DUR	1AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|9MLV|aDUR
579	15141 38143	   	164.13	ACR|3DMG|2VULN|1ASPD	1RCVC|259DMG|3DMSP|4RCR|59BPWR|6MBVNT|79VULN|89ERES|aASPD
580	31236 52152	   	164.12	DCR|4VULN|1AART|1ZMB	1AART|2TLV|3468VULN|56LIT|6BPWR|7BEXP|9RCR|aZMB
581	31612 23326	   	164.11	DCR|2AART|2VULN|1DMG|1ASPD	17AART|2TLV|3RPLT|4RMIN|5ASPD|6DMG|8RCR|9aVULN
582	33612 23326	   	164.11	DCR|2AART|2VULN|1DMG|1ASPD	17AART|2RPLT|3TLV|4RMIN|5ASPD|6DMG|8RCR|9aVULN
583	31513 25242	   	164.10	ACR|3VULN|1AART|1DMG	1AART|2TLV|3ERES|4RCR|5RPLT|6DMG|78aVULN|9BELT
584	15421 33262	   	164.10	ACR|2VULN|2DMG|2CDMG	1RCVC|29DMG|3RCR|4ERES|59CDMG|6MLV|7LIT|89VULN|9BPWR|aFEWX
585	15421 33263	   	164.10	ACR|2VULN|2DMG|2CDMG	1RCVC|29DMG|3RCR|4ERES|59CDMG|6MLV|7LIT|89VULN|9BPWR|aLHND
586	16411 52212	   	164.07	DCR|2VULN|2AART|1CDMG|1ZMB	1RCVC|26VULN|3CDMG|4ZMB|5RMIN|7RCR|89AART|aLHND
587	16411 52213	   	164.07	DCR|2VULN|2AART|1CDMG|1ZMB	1RCVC|26VULN|3CDMG|4ZMB|5RMIN|7RCR|89AART|aLWND
588	33344 18414	   	164.02	DCR|4VULN|1AART|1ZMB	1AART|2RPLT|357aVULN|4CGEN|6MBVNT|8ZMB|9RCR
589	34221 12142	 * 	164.01	DCR|3VULN|2AART|1CDMG	13AART|2LHND|4CDMG|58aVULN|6ERES|7MGNSTR|9RCR
590	34225 11423	   	164.01	DCR|2AART|2VULN|2CDMG|1DUR	13AART|2LHND|45CDMG|6aVULN|7DUR|8RCR|9TLV
591	16211 32312	   	164.00	ACR|3VULN|1AART|1DMG	1RCVC|29aVULN|3aTLV|4RCR|5DMG|6DUST|7aMLV|8AART|aBPWR
592	16311 32311	   	164.00	ACR|3VULN|1AART|1DMG	1RCVC|29aVULN|3CGEN|4RCR|5DMG|6DUST|7MLV|8AART
593	31511 14311	   	164.00	ACR|3VULN|1AART|1DMG	1AART|2TLV|35ERES|4RCR|6LWND|7DMG|89aVULN
594	31511 14312	   	164.00	ACR|3VULN|1AART|1DMG	1AART|2aTLV|35aERES|4RCR|6LWND|7DMG|89aVULN|aBPWR
595	31512 54311	   	164.00	ACR|3VULN|1AART|1DMG	1AART|2TLV|36ERES|4RCR|5LWND|7DMG|89aVULN
596	31512 54312	   	164.00	ACR|3VULN|1AART|1DMG	1AART|2aTLV|36aERES|4RCR|5LWND|7DMG|89aVULN|aBPWR
597	31513 25225	   	164.00	ACR|3VULN|1AART|1DMG	1AART|29TLV|3ERES|4RCR|5RPLT|6DMG|78aVULN
598	31513 25235	   	164.00	ACR|3VULN|1AART|1DMG	1AART|2TLV|39ERES|4RCR|5RPLT|6DMG|78aVULN
599	15421 33261	   	164.00	ACR|2VULN|2DMG|2CDMG	1RCVC|29DMG|3RCR|4aERES|59CDMG|6MLV|7LIT|89VULN|9BPWR
600	16411 52211	   	163.97	DCR|2VULN|2AART|1CDMG|1ZMB	1RCVC|26VULN|3CDMG|4ZMB|5RMIN|7RCR|89AART|aDUST
601	31241 14263	   	163.94	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1AART|2TLV|378VULN|4CDMG|5ASPD|6ERES|9DUR|aRCR
602	15541 21231	   	163.93	ACR|3DMG|1AART|1CDMG|1ASPD	1RCVC|235DMG|4RCR|5BPWR|6DMSP|7CDMG|8ERES|9AART|aASPD
603	31242 52141	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2TLV|38VULN|4CDMG|5RMIN|6DMG|7MGNSTR|9RCR|aDUR
604	32221 52141	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2BEXP|3DMSP|4CDMG|58VULN|6DMG|7CANSTR|9RCR|aDUR
605	32421 52141	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|23BEXP|4CDMG|58VULN|6DMG|7CANSTR|9RCR|aDUR
606	15533 12513	   	163.91	DCR|3DMG|2VULN|1ASPD	1RCVC|23aDMG|4aVULN|5MBVNT|6BEXP|7RCR|8ASPD|9aLIT|aBPWR
607	16211 32311	   	163.90	ACR|3VULN|1AART|1DMG	1RCVC|29aVULN|3TLV|4RCR|5DMG|6DUST|7MLV|8AART
608	15411 12223	   	163.90	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4RMIN|5CDMG|6FEWX|7MLV|8aVULN|9AART
609	15411 34223	   	163.90	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4RMIN|5CDMG|6MLV|7FEWX|8aVULN|9AART
610	15431 12223	   	163.90	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4CDMG|5RMIN|6FEWX|7MLV|8aVULN|9AART
611	15431 34223	   	163.90	ACR|2VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RCR|4CDMG|5RMIN|6MLV|7FEWX|8aVULN|9AART
