0	Index      	 *	Score 	Summary	Detail	
1	21252 13536	 * 	207.13	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	1aAART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG
504	21636 13216	   	177.87	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RCR|3FEWX|4ERES|5CGEN|6aVULN|79DMG|8DUR
505	21653 13216	   	177.87	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RCR|3FEWX|4TLV|5MLV|6aVULN|79DMG|8DUR
506	21256 13511	   	177.87	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RCR|3MLV|46VULN|5CGEN|78DMG|9DUR|aAIRHEA
507	21256 13513	   	177.87	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RCR|3MLV|46VULN|5CGEN|78DMG|9DUR|aMBVNT
508	21453 13511	   	177.87	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RCR|3CGEN|46VULN|5MLV|78DMG|9DUR|aAIRHEA
509	21453 13513	   	177.87	ACR|2VULN|2DMG|1AART|1DUR	1AART|2RCR|3CGEN|46VULN|5MLV|78DMG|9DUR|aMBVNT
510	15622 15131	   	177.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|26DMG|3RCR|4aLHND|5DUR|78VULN|9AART
511	15622 15132	   	177.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|26DMG|3RCR|4LHND|5DUR|78VULN|9AART|aBEXP
512	26252 12316	 * 	177.62	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	12AART|3FEWX|4DUR|5LHND|6aVULN|7RCR|8ZMB|9DMG
513	15622 15133	   	177.61	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|26DMG|3RCR|4LHND|5DUR|78VULN|9AART|aDUST
514	21363 35532	   	177.44	ACR|3VULN|1AART|2ZMB|1CDMG	1AART|2RCR|3LHND|4CDMG|5LEGI|68aVULN|79ZMB
515	21234 31561	   	177.23	ACR|2AART|2DMG|1VULN|2DUR	14AART|2RCR|36MLV|56DUR|6BPWR|78DMG|9VULN|aBEXP
516	21234 31562	   	177.23	ACR|2AART|2DMG|1VULN|2DUR	14AART|2RCR|36MLV|56DUR|6BPWR|78DMG|9VULN|aFEWX
517	21234 31563	   	177.23	ACR|2AART|2DMG|1VULN|2DUR	14AART|2RCR|36MLV|56DUR|6BPWR|78DMG|9VULN|aRMIN
518	21252 11441	   	177.21	ACR|2VULN|1AART|1FLTHEA|2DUR|1ZMB|1ASPD	1AART|2RCR|3MLV|46VULN|5ZMB|7aDUR|8FLTHEA|9ASPD
