0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26222 42523	9	 * 	275.00	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7LHND|8DUR|9RCR
479	26226 23352	6	   	245.42	DCR|2VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	1CDMG|24ASPD|34VULN|4BPWR|5ERES|6TLV|7DUR|8BELT|9RCR|aDMG
480	22564 22223	8	 * 	245.38	DCR|3DMG|1VULN|2DUR|2CDMG|1TLV	19CDMG|2RCVC|3RPLT|4TLV|59DUR|6RCR|789DMG|9BPWR|aVULN
481	21512 11252	10	   	245.26	DCR|3VULN|2DUR|2CDMG|1AART	1aCDMG|279VULN|3LEGI|4aDUR|5aDUST|6RCR|8AART|aBPWR
482	11246 31323	10	   	245.16	DCR|3VULN|3DUR|1TLV|1SELL	18MLV|2FEWX|378VULN|48aDUR|5SELL|6RCR|8BPWR|9TLV
483	11256 31323	10	   	245.16	DCR|3VULN|3DUR|1TLV|1SELL	18MLV|2FEWX|378VULN|4SELL|58aDUR|6RCR|8BPWR|9TLV
484	12521 42632	4	   	245.11	DCR|3VULN|3DUR|1TLV	1MLV|2ERES|36aVULN|459DUR|7TLV|8RCR
485	21225 12246	3	   	245.10	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV	17CDMG|25VULN|3BELT|4DMG|6RCR|8aDUR|9TLV
486	26143 33213	10	   	245.10	DCR|2VULN|3ASPD|1DMG|2CDMG|1DUR	17CDMG|269ASPD|3DMG|4LHND|56VULN|6BPWR|8RCR|aDUR
487	26163 33213	10	   	245.10	DCR|2VULN|3ASPD|1DMG|2CDMG|1DUR	17CDMG|269ASPD|3DMG|4LWND|56VULN|6BPWR|8RCR|aDUR
488	56212 43332	3	   	245.06	DCR|3VULN|3DUR|1TLV|1SELL	1SELL|2BELT|347VULN|57aDUR|6RPLT|7BPWR|8RCR|9TLV
489	13625 26323	8	   	245.05	DCR|5VULN|1AART	1MLV|2AART|3489aVULN|5CGEN|6RCR|7LIT
